Date,Price,Forward EPS,Forward P/E,Growth Rate (%),PEG Ratio
2018-01-02,43.064998626708984,2.96,14.56,,
2018-01-03,43.057498931884766,2.96,14.56,,
2018-01-04,43.25749969482422,2.96,14.63,,
2018-01-05,43.75,2.96,14.79,,
2018-01-08,43.587501525878906,2.96,14.74,,
2018-01-09,43.58250045776367,2.96,14.74,,
2018-01-10,43.5724983215332,2.96,14.73,,
2018-01-11,43.81999969482422,2.96,14.82,,
2018-01-12,44.272499084472656,2.96,14.97,,
2018-01-16,44.04750061035156,2.96,14.89,,
2018-01-17,44.775001525878906,2.96,15.14,,
2018-01-18,44.814998626708984,2.96,15.15,,
2018-01-19,44.6150016784668,2.96,15.09,,
2018-01-22,44.25,2.96,14.96,,
2018-01-23,44.2599983215332,2.96,14.97,,
2018-01-24,43.55500030517578,2.96,14.73,,
2018-01-25,42.77750015258789,2.96,14.46,,
2018-01-26,42.877498626708984,2.96,14.50,,
2018-01-29,41.9900016784668,2.96,14.20,,
2018-01-30,41.74250030517578,2.96,14.11,,
2018-01-31,41.85749816894531,2.96,14.15,,
2018-02-01,41.94499969482422,2.96,14.18,,
2018-02-02,40.125,2.96,13.57,,
2018-02-05,39.122501373291016,2.96,13.23,,
2018-02-06,40.75749969482422,2.96,13.78,,
2018-02-07,39.8849983215332,2.96,13.49,,
2018-02-08,38.787498474121094,2.96,13.11,,
2018-02-09,39.102500915527344,2.96,13.22,,
2018-02-12,40.6775016784668,2.96,13.75,,
2018-02-13,41.084999084472656,2.96,13.89,,
2018-02-14,41.842498779296875,2.96,14.15,,
2018-02-15,43.247501373291016,2.96,14.62,,
2018-02-16,43.10749816894531,2.96,14.58,,
2018-02-20,42.962501525878906,2.96,14.53,,
2018-02-21,42.76750183105469,2.96,14.46,,
2018-02-22,43.125,2.96,14.58,,
2018-02-23,43.875,2.96,14.84,,
2018-02-26,44.74250030517578,2.96,15.13,,
2018-02-27,44.59749984741211,2.96,15.08,,
2018-02-28,44.529998779296875,2.96,15.06,,
2018-03-01,43.75,2.96,14.79,,
2018-03-02,44.0525016784668,2.96,14.90,,
2018-03-05,44.20500183105469,2.96,14.95,,
2018-03-06,44.16749954223633,2.96,14.93,,
2018-03-07,43.75749969482422,2.96,14.80,,
2018-03-08,44.23500061035156,2.96,14.96,,
2018-03-09,44.994998931884766,2.96,15.21,,
2018-03-12,45.43000030517578,2.96,15.36,,
2018-03-13,44.99250030517578,2.96,15.21,,
2018-03-14,44.61000061035156,2.96,15.08,,
2018-03-15,44.662498474121094,2.96,15.10,,
2018-03-16,44.505001068115234,2.96,15.05,,
2018-03-19,43.82500076293945,2.96,14.82,,
2018-03-20,43.810001373291016,2.96,14.81,,
2018-03-21,42.817501068115234,2.96,14.48,,
2018-03-22,42.212501525878906,2.96,14.27,,
2018-03-23,41.23500061035156,2.96,13.94,,
2018-03-26,43.192501068115234,2.96,14.60,,
2018-03-27,42.084999084472656,2.96,14.23,,
2018-03-28,41.619998931884766,2.96,14.07,,
2018-03-29,41.94499969482422,2.96,14.18,,
2018-04-02,41.66999816894531,2.88,14.49,,
2018-04-03,42.09749984741211,2.88,14.64,,
2018-04-04,42.90250015258789,2.88,14.92,,
2018-04-05,43.20000076293945,2.88,15.03,,
2018-04-06,42.095001220703125,2.88,14.64,,
2018-04-09,42.51250076293945,2.88,14.79,,
2018-04-10,43.3125,2.88,15.07,,
2018-04-11,43.11000061035156,2.88,14.99,,
2018-04-12,43.53499984741211,2.88,15.14,,
2018-04-13,43.682498931884766,2.88,15.19,,
2018-04-16,43.95500183105469,2.88,15.29,,
2018-04-17,44.560001373291016,2.88,15.50,,
