Ticker,Price,Forward_EPS_Est,Growth_Est,Forward_PE,Calculated_PEG
AAPL,278.7799987792969,9.11248,0.1034,30.59320830106589,2.9587242070663335
MSFT,483.1600036621094,18.62835,0.185,25.93681156206048,1.4019898141654314
AMZN,229.52999877929688,7.85462,0.1157,29.222291947834126,2.525695068957141
GOOGL,321.2699890136719,11.16594,0.058000002,28.772319125274883,4.960744505711376
META,673.4199829101562,29.6705,0.2809,22.69661727676164,0.8079963430673421
TSLA,455.0,2.27296,0.3789,200.17950161903423,5.283175022935715
NVDA,182.41000366210938,7.45563,0.5912,24.46607512203655,0.413837535893717
PYPL,62.279998779296875,5.82641,0.0883,10.689257841328859,1.2105614769341855
ADBE,346.260009765625,23.30505,0.1205,14.857724388732269,1.2330061733387776
NFLX,100.23999786376953,3.23529,0.2776,30.983311500288856,1.116113526667466
INTC,41.40999984741211,0.59608,0.752,69.47054061101213,0.9238103804655867
CSCO,77.97000122070312,4.46765,0.0844,17.452128349513305,2.0677877191366476
CMCSA,27.309999465942383,4.15946,-0.0149,6.565756003409669,
PEP,145.02000427246094,8.5528,0.0543,16.955851215094583,3.12262453316659
AVGO,390.239990234375,9.32882,0.38259998,41.83165611882049,1.0933522819008115
