,AAPL,AMZN,AVGO,COST,GOOGL,META,MSFT,NVDA,PEP,TSLA
2020-01-02,,,,,,,,,,
2020-01-03,,,,,,,,,,
2020-01-06,,,,,,,,,,
2020-01-07,,,,,,,,,,
2020-01-08,,,,,,,,,,
2020-01-09,,,,,,,,,,
2020-01-10,,,,,,,,,,
2020-01-13,,,,,,,,,,
2020-01-14,,,,,,,,,,
2020-01-15,,,,,,,,,,
2020-01-16,,,,,,,,,,
2020-01-17,,,,,,,,,,
2020-01-21,,,,,,,,,,
2020-01-22,,,,,,,,,,
2020-01-23,,,,,,,,,,
2020-01-24,,,,,,,,,,
2020-01-27,,,,,,,,,,
2020-01-28,,,,,,,,,,
2020-01-29,,,,,,,,,,
2020-01-30,,,,,,,,,,
2020-01-31,,,,,,,,,,
2020-02-03,,,,,,,,,,
2020-02-04,,,,,,,,,,
2020-02-05,,,,,,,,,,
2020-02-06,,,,,,,,,,
2020-02-07,,,,,,,,,,
2020-02-10,,,,,,,,,,
2020-02-11,,,,,,,,,,
2020-02-12,,,,,,,,,,
2020-02-13,,,,,,,,,,
2020-02-14,,,,,,,,,,
2020-02-18,,,,,,,,,,
2020-02-19,,,,,,,,,,
2020-02-20,,,,,,,,,,
2020-02-21,,,,,,,,,,
2020-02-24,,,,,,,,,,
2020-02-25,,,,,,,,,,
2020-02-26,,,,,,,,,,
2020-02-27,,,,,,,,,,
2020-02-28,,,,,,,,,,
2020-03-02,,,,,,,,,,
2020-03-03,,,,,,,,,,
2020-03-04,,,,,,,,,,
2020-03-05,,,,,,,,,,
2020-03-06,,,,,,,,,,
2020-03-09,,,,,,,,,,
2020-03-10,,,,,,,,,,
2020-03-11,,,,,,,,,,
2020-03-12,,,,,,,,,,
2020-03-13,,,,,,,,,,
2020-03-16,,,,,,,,,,
2020-03-17,,,,,,,,,,
2020-03-18,,,,,,,,,,
2020-03-19,,,,,,,,,,
2020-03-20,,,,,,,,,,
2020-03-23,,,,,,,,,,
2020-03-24,,,,,,,,,,
2020-03-25,,,,,,,,,,
2020-03-26,,,,,,,,,,
2020-03-27,,,,,,,,,,
2020-03-30,,,,,,,,,,
2020-03-31,,,,,,,,,,
2020-04-01,,,,,,,,,,
2020-04-02,,,,,,,,,,
2020-04-03,,,,,,,,,,
2020-04-06,,,,,,,,,,
2020-04-07,,,,,,,,,,
2020-04-08,,,,,,,,,,
2020-04-09,,,,,,,,,,
2020-04-13,,,,,,,,,,
2020-04-14,,,,,,,,,,
2020-04-15,,,,,,,,,,
2020-04-16,,,,,,,,,,
2020-04-17,,,,,,,,,,
2020-04-20,,,,,,,,,,
2020-04-21,,,,,,,,,,
2020-04-22,,,,,,,,,,
2020-04-23,,,,,,,,,,
2020-04-24,,,,,,,,,,
2020-04-27,,,,,,,,,,
2020-04-28,,,,,,,,,,
2020-04-29,,,,,,,,,,
2020-04-30,,,,,,,,,,
2020-05-01,,,,,,,,,,
2020-05-04,,,,,,,,,,
2020-05-05,,,,,,,,,,
2020-05-06,,,,,,,,,,
2020-05-07,,,,,,,,,,
2020-05-08,,,,,,,,,,
2020-05-11,,,,,,,,,,
2020-05-12,,,,,,,,,,
2020-05-13,,,,,,,,,,
2020-05-14,,,,,,,,,,
2020-05-15,,,,,,,,,,
2020-05-18,,,,,,,,,,
2020-05-19,,,,,,,,,,
2020-05-20,,,,,,,,,,
2020-05-21,,,,,,,,,,
2020-05-22,,,,,,,,,,
2020-05-26,,,,,,,,,,
2020-05-27,,,,,,,,,,
2020-05-28,,,,,,,,,,
2020-05-29,,,,,,,,,,
2020-06-01,,,,,,,,,,
2020-06-02,,,,,,,,,,
2020-06-03,,,,,,,,,,
2020-06-04,,,,,,,,,,
2020-06-05,,,,,,,,,,
2020-06-08,,,,,,,,,,
2020-06-09,,,,,,,,,,
2020-06-10,,,,,,,,,,
2020-06-11,,,,,,,,,,
2020-06-12,,,,,,,,,,
2020-06-15,,,,,,,,,,
2020-06-16,,,,,,,,,,
2020-06-17,,,,,,,,,,
2020-06-18,,,,,,,,,,
2020-06-19,,,,,,,,,,
2020-06-22,,,,,,,,,,
2020-06-23,,,,,,,,,,
2020-06-24,,,,,,,,,,
2020-06-25,,,,,,,,,,
2020-06-26,,,,,,,,,,
2020-06-29,,,,,,,,,,
2020-06-30,,,,,,,,,,
2020-07-01,,,,,,,,,,
2020-07-02,,,,,,,,,,
2020-07-06,,,,,,,,,,
2020-07-07,,,,,,,,,,
2020-07-08,,,,,,,,,,
2020-07-09,,,,,,,,,,
2020-07-10,,,,,,,,,,
2020-07-13,,,,,,,,,,
2020-07-14,,,,,,,,,,
2020-07-15,,,,,,,,,,
2020-07-16,,,,,,,,,,
2020-07-17,,,,,,,,,,
2020-07-20,,,,,,,,,,
2020-07-21,,,,,,,,,,
2020-07-22,,,,,,,,,,
2020-07-23,,,,,,,,,,
2020-07-24,,,,,,,,,,
2020-07-27,,,,,,,,,,
2020-07-28,,,,,,,,,,
2020-07-29,,,,,,,,,,
2020-07-30,,,,,,,,,,
2020-07-31,,,,,,,,,,
2020-08-03,,,,,,,,,,
2020-08-04,,,,,,,,,,
2020-08-05,,,,,,,,,,
2020-08-06,,,,,,,,,,
2020-08-07,,,,,,,,,,
2020-08-10,,,,,,,,,,
2020-08-11,,,,,,,,,,
2020-08-12,,,,,,,,,,
2020-08-13,,,,,,,,,,
2020-08-14,,,,,,,,,,
2020-08-17,,,,,,,,,,
2020-08-18,,,,,,,,,,
2020-08-19,,,,,,,,,,
2020-08-20,,,,,,,,,,
2020-08-21,,,,,,,,,,
2020-08-24,,,,,,,,,,
2020-08-25,,,,,,,,,,
2020-08-26,,,,,,,,,,
2020-08-27,,,,,,,,,,
2020-08-28,,,,,,,,,,
2020-08-31,,,,,,,,,,
2020-09-01,,,,,,,,,,
2020-09-02,,,,,,,,,,
2020-09-03,,,,,,,,,,
2020-09-04,,,,,,,,,,
2020-09-08,,,,,,,,,,
2020-09-09,,,,,,,,,,
2020-09-10,,,,,,,,,,
2020-09-11,,,,,,,,,,
2020-09-14,,,,,,,,,,
2020-09-15,,,,,,,,,,
2020-09-16,,,,,,,,,,
2020-09-17,,,,,,,,,,
2020-09-18,,,,,,,,,,
2020-09-21,,,,,,,,,,
2020-09-22,,,,,,,,,,
2020-09-23,,,,,,,,,,
2020-09-24,,,,,,,,,,
2020-09-25,,,,,,,,,,
2020-09-28,,,,,,,,,,
2020-09-29,,,,,,,,,,
2020-09-30,,,,,,,,,,
2020-10-01,,,,,,,,,,
