Ticker,Date,Estimated_EPS,Reported_EPS
IBM,2020-03-31,1.8,1.84
IBM,2020-06-30,2.09,2.18
IBM,2020-09-30,2.58,2.58
IBM,2020-12-31,1.88,2.07
IBM,2021-03-31,1.65,1.77
IBM,2021-06-30,2.29,2.33
IBM,2021-09-30,2.51,2.52
IBM,2021-12-31,3.29,3.35
IBM,2022-03-31,1.42,1.4
IBM,2022-06-30,2.29,2.31
IBM,2022-09-30,1.8,1.81
IBM,2022-12-31,3.61,3.6
IBM,2023-03-31,1.24,1.36
IBM,2023-06-30,2.0,2.18
IBM,2023-09-30,2.13,2.2
IBM,2023-12-31,3.78,3.87
IBM,2024-03-31,1.6,1.68
IBM,2024-06-30,2.17,2.43
IBM,2024-09-30,2.23,2.3
IBM,2024-12-31,3.48,3.09
IBM,2025-03-31,1.08,1.12
IBM,2025-06-30,2.65,2.8
IBM,2025-09-30,1.92,1.84
