max(date),symbol
2025-12-16,AAPL
2025-12-15,ABBV
2025-12-19,ALAB
2025-12-19,AMZN
2025-12-19,APH
2025-12-17,ARAY
2025-12-17,ARBE
2025-12-16,ASML
2025-12-15,ASTS
2025-12-17,AUR
2025-12-17,AVAV
2025-12-19,AVGO
2025-12-16,AXL
2025-12-16,AXP
2025-12-17,BA
2025-12-19,BABA
2025-12-16,BAC
2025-12-19,BEKE
2025-12-16,BFH
2025-12-16,BMY
2025-12-16,BN
2025-12-16,BRK-B
2025-12-15,C
2025-12-16,CAT
2025-12-16,CB
2025-12-17,CGNX
2025-12-19,CIEN
2025-12-17,CIFR
2025-12-19,CLS
2025-12-16,CMCSA
2025-12-16,CMG
2025-12-16,CNDT
2025-12-16,CNI
2025-12-16,COF
2025-12-19,COHR
2025-12-19,CRDO
2025-12-16,CRM
2025-12-19,CRWD
2025-12-16,CVX
2025-12-16,DE
2025-12-16,DIS
2025-12-16,DVA
2025-12-15,DXYZ
2025-12-16,ECL
2025-12-15,EG
2025-12-17,EOSE
2025-12-16,EWBC
2025-12-16,FDX
2025-12-17,FLNC
2025-12-16,FLUT
2025-12-15,FLY
2025-12-19,FN
2025-12-16,FRFHF
2025-12-17,GD
2025-12-17,GOOD
2025-12-19,GOOG
2025-12-19,GOOGL
2025-12-16,GTN
2025-12-15,HD
2025-12-16,HHH
2025-12-16,HLT
2025-12-17,HON
2025-12-17,HOOD
2025-12-15,HTZ
2025-12-19,IAU
2025-12-17,INVZ
2025-12-17,IRBT
2025-12-17,IREN
2025-12-17,ISRG
2025-12-16,JELD
2025-12-15,JPM
2025-12-16,JXN
2025-12-16,KHC
2025-12-16,KO
2025-12-16,KOF
2025-12-16,KR
2025-12-17,KRKNF
2025-12-17,KTOS
2025-12-17,KULR
2025-12-17,KWEB
2025-12-17,LECO
2025-12-19,LITE
2025-12-16,LLY
2025-12-17,LMT
2025-12-16,LNC
2025-12-11,LVMUY
2025-12-16,MA
2025-12-16,MCD
2025-12-16,MCO
2025-12-17,MDT
2025-12-17,META
2025-12-15,MRNA
2025-12-16,MSFT
2025-12-16,MSGS
2025-12-17,MVIS
2025-12-17,MVST
2025-12-17,NBIS
2025-12-16,NBR
2025-12-17,NOC
2025-12-16,NOW
2025-12-17,NRG
2025-12-19,NVDA
2025-12-19,NVT
2025-12-17,ONDS
2025-12-17,OPEN
2025-12-17,OUST
2025-12-16,OXY
2025-12-19,PANW
2025-12-17,PATH
2025-12-16,PDD
2025-12-17,PEGA
2025-12-15,PL
2025-12-16,PLTR
2025-12-17,PRCT
2025-12-17,PTC
2025-12-15,QCOM
2025-12-19,QQQ
2025-12-17,QS
2025-12-16,QSR
2025-12-16,QUAD
2025-12-15,RKLB
2025-12-17,ROK
2025-12-17,RR
2025-12-19,SANM
2025-12-15,SATS
2025-12-19,SCHO
2025-12-16,SEG
2025-12-17,SERV
2025-12-16,SIRI
2025-12-17,SKY
2025-12-15,SLB
2025-12-17,SLDR
2025-12-16,SLG
2025-12-19,SNDK
2025-12-16,SOC
2025-12-18,STX
2025-12-16,STZ
2025-12-17,SYM
2025-12-11,TCEHY
2025-12-16,TDAY
2025-12-19,TEM
2025-12-19,TER
2025-12-15,TMUS
2025-12-17,TSLA
2025-12-19,TSM
2025-12-16,UBER
2025-12-16,UNH
2025-12-16,V
2025-12-19,VICR
2025-12-16,VRSN
2025-12-19,VRT
2025-12-19,VST
2025-12-19,WDC
2025-12-17,WHR
2025-12-16,WM
2025-12-16,WMT
2025-12-17,XIACF
2025-12-16,XOM
2025-12-15,XOVR
2025-12-17,XPEV
2025-12-17,ZBRA
