max(date),symbol
2025-12-16,AAPL
2025-12-16,ABBV
2025-12-20,ALAB
2025-12-19,AMZN
2025-12-20,APH
2025-12-18,ARAY
2025-12-18,ARBE
2025-12-16,ASML
2025-12-16,ASTS
2025-12-18,AUR
2025-12-18,AVAV
2025-12-20,AVGO
2025-12-16,AXL
2025-12-16,AXP
2025-12-18,BA
2025-12-19,BABA
2025-12-16,BAC
2025-12-19,BEKE
2025-12-16,BFH
2025-12-16,BMY
2025-12-16,BN
2025-12-16,BRK-B
2025-12-16,C
2025-12-16,CAT
2025-12-16,CB
2025-12-18,CGNX
2025-12-20,CIEN
2025-12-18,CIFR
2025-12-20,CLS
2025-12-16,CMCSA
2025-12-16,CMG
2025-12-16,CNDT
2025-12-16,CNI
2025-12-16,COF
2025-12-20,COHR
2025-12-20,CRDO
2025-12-16,CRM
2025-12-19,CRWD
2025-12-16,CVX
2025-12-16,DE
2025-12-16,DIS
2025-12-16,DVA
2025-12-16,DXYZ
2025-12-16,ECL
2025-12-16,EG
2025-12-18,EOSE
2025-12-16,EWBC
2025-12-16,FDX
2025-12-18,FLNC
2025-12-16,FLUT
2025-12-16,FLY
2025-12-20,FN
2025-12-16,FRFHF
2025-12-18,GD
2025-12-18,GOOD
2025-12-19,GOOG
2025-12-20,GOOGL
2025-12-16,GTN
2025-12-16,HD
2025-12-16,HHH
2025-12-16,HLT
2025-12-18,HON
2025-12-18,HOOD
2025-12-19,IAU
2025-12-18,INVZ
2025-12-18,IRBT
2025-12-18,IREN
2025-12-18,ISRG
2025-12-16,JELD
2025-12-16,JPM
2025-12-16,JXN
2025-12-16,KHC
2025-12-16,KO
2025-12-16,KOF
2025-12-16,KR
2025-12-18,KRKNF
2025-12-18,KTOS
2025-12-18,KULR
2025-12-18,KWEB
2025-12-18,LECO
2025-12-20,LITE
2025-12-16,LLY
2025-12-18,LMT
2025-12-16,LNC
2025-12-16,LVMUY
2025-12-16,MA
2025-12-16,MCD
2025-12-16,MCO
2025-12-18,MDT
2025-12-18,META
2025-12-16,MRNA
2025-12-16,MSFT
2025-12-16,MSGS
2025-12-18,MVIS
2025-12-18,MVST
2025-12-18,NBIS
2025-12-16,NBR
2025-12-18,NOC
2025-12-16,NOW
2025-12-18,NRG
2025-12-20,NVDA
2025-12-20,NVT
2025-12-18,OLL
2025-12-18,ONDS
2025-12-18,OPEN
2025-12-18,OUST
2025-12-16,OXY
2025-12-19,PANW
2025-12-18,PATH
2025-12-16,PDD
2025-12-18,PEGA
2025-12-16,PL
2025-12-16,PLTR
2025-12-18,PRCT
2025-12-18,PTC
2025-12-16,QCOM
2025-12-19,QQQ
2025-12-18,QS
2025-12-16,QSR
2025-12-16,QUAD
2025-12-16,RKLB
2025-12-18,ROK
2025-12-18,RR
2025-12-20,SANM
2025-12-16,SATS
2025-12-19,SCHO
2025-12-16,SEG
2025-12-18,SERV
2025-12-16,SIRI
2025-12-18,SKY
2025-12-16,SLB
2025-12-18,SLDR
2025-12-16,SLG
2025-12-20,SNDK
2025-12-16,SOC
2025-12-20,STX
2025-12-16,STZ
2025-12-18,SYM
2025-12-16,TCEHY
2025-12-16,TDAY
2025-12-19,TEM
2025-12-19,TER
2025-12-16,TMUS
2025-12-18,TSLA
2025-12-19,TSM
2025-12-16,UBER
2025-12-16,UNH
2025-12-16,V
2025-12-19,VICR
2025-12-16,VRSN
2025-12-19,VRT
2025-12-19,VST
2025-12-19,WDC
2025-12-18,WHR
2025-12-16,WM
2025-12-16,WMT
2025-12-18,XIACF
2025-12-16,XOM
2025-12-16,XOVR
2025-12-18,XPEV
2025-12-18,ZBRA
